Implementation,MessageSize,ThreadCount,Latency_us
TwoCopy,512,1,7.75
TwoCopy,512,2,7.23
TwoCopy,512,4,9.35
TwoCopy,512,8,15.52
TwoCopy,4096,1,24.03
TwoCopy,4096,2,24.14
TwoCopy,4096,4,14.11
TwoCopy,4096,8,32.18
TwoCopy,16384,1,48.36
TwoCopy,16384,2,50.81
TwoCopy,16384,4,66.80
TwoCopy,16384,8,75.21
TwoCopy,65536,1,60.45
TwoCopy,65536,2,59.96
TwoCopy,65536,4,86.18
TwoCopy,65536,8,79.37
OneCopy,512,1,2.25
OneCopy,512,2,2.44
OneCopy,512,4,3.72
OneCopy,512,8,3.63
OneCopy,4096,1,6.99
OneCopy,4096,2,7.61
OneCopy,4096,4,9.90
OneCopy,4096,8,6.19
OneCopy,16384,1,6.98
OneCopy,16384,2,8.79
OneCopy,16384,4,9.33
OneCopy,16384,8,10.30
OneCopy,65536,1,15.88
OneCopy,65536,2,16.04
OneCopy,65536,4,19.17
OneCopy,65536,8,24.52
ZeroCopy,512,1,7.08
ZeroCopy,512,2,6.85
ZeroCopy,512,4,10.60
ZeroCopy,512,8,15.39
ZeroCopy,4096,1,8.45
ZeroCopy,4096,2,8.66
ZeroCopy,4096,4,12.48
ZeroCopy,4096,8,16.20
ZeroCopy,16384,1,10.52
ZeroCopy,16384,2,13.73
ZeroCopy,16384,4,12.52
ZeroCopy,16384,8,21.16
ZeroCopy,65536,1,24.43
ZeroCopy,65536,2,24.34
ZeroCopy,65536,4,27.56
ZeroCopy,65536,8,41.57
