Implementation,MessageSize,ThreadCount,Throughput_Gbps,TotalBytes,TotalMessages,Duration_sec
TwoCopy,512,1,0.55,136752128,267094,2.00
TwoCopy,512,2,0.55,137386496,268333,2.00
TwoCopy,512,4,0.58,144988672,283181,2.01
TwoCopy,512,8,0.39,98204160,191805,2.02
TwoCopy,4096,1,1.34,334065664,81559,2.00
TwoCopy,4096,2,1.41,352620544,86089,2.00
TwoCopy,4096,4,1.77,442716160,108085,2.00
TwoCopy,4096,8,1.73,434655232,106117,2.01
TwoCopy,16384,1,2.54,635125760,38765,2.00
TwoCopy,16384,2,2.66,666468352,40678,2.00
TwoCopy,16384,4,2.20,550469632,33598,2.00
TwoCopy,16384,8,2.13,532480000,32500,2.00
TwoCopy,65536,1,8.81,2203648000,33625,2.00
TwoCopy,65536,2,8.52,2131689472,32527,2.00
TwoCopy,65536,4,7.30,1825505280,27855,2.00
TwoCopy,65536,8,6.11,1530331136,23351,2.00
OneCopy,512,1,1.65,412943872,806531,2.00
OneCopy,512,2,1.59,398292992,777916,2.00
OneCopy,512,4,1.51,380386304,742942,2.01
OneCopy,512,8,1.01,255529472,499081,2.02
OneCopy,4096,1,4.40,1100738560,268735,2.00
OneCopy,4096,2,4.56,1139720192,278252,2.00
OneCopy,4096,4,3.76,940621824,229644,2.00
OneCopy,4096,8,5.62,1411481600,344600,2.01
OneCopy,16384,1,15.06,3766337536,229879,2.00
OneCopy,16384,2,15.69,3927474176,239714,2.00
OneCopy,16384,4,12.43,3108290560,189715,2.00
OneCopy,16384,8,9.94,2490564608,152012,2.01
OneCopy,65536,1,31.93,7985364992,121847,2.00
OneCopy,65536,2,33.16,8292466688,126533,2.00
OneCopy,65536,4,24.09,6030688256,92021,2.00
OneCopy,65536,8,16.02,4014604288,61258,2.00
ZeroCopy,512,1,0.49,122767360,239780,2.00
ZeroCopy,512,2,0.55,138601472,270706,2.00
ZeroCopy,512,4,0.39,97462784,190357,2.00
ZeroCopy,512,8,0.29,72709632,142011,2.00
ZeroCopy,4096,1,3.81,953999360,232910,2.00
ZeroCopy,4096,2,3.27,818950144,199939,2.00
ZeroCopy,4096,4,2.71,678731776,165706,2.00
ZeroCopy,4096,8,1.89,473178112,115522,2.01
ZeroCopy,16384,1,10.53,2633875456,160759,2.00
ZeroCopy,16384,2,11.92,2982871040,182060,2.00
ZeroCopy,16384,4,7.09,1773191168,108227,2.00
ZeroCopy,16384,8,5.98,1500610560,91590,2.01
ZeroCopy,65536,1,22.26,5568069632,84962,2.00
ZeroCopy,65536,2,20.51,5130813440,78290,2.00
ZeroCopy,65536,4,14.03,3509190656,53546,2.00
ZeroCopy,65536,8,9.78,2448818176,37366,2.00
