Implementation,MessageSize,ThreadCount,CPU_Cycles,CacheMisses,L1_Misses,LLC_Misses,ContextSwitches
TwoCopy,512,1,7472947556,2976405,8492485,21602,120
TwoCopy,512,2,15787593288,3501174,20254504,22832,128
TwoCopy,512,4,32494866856,2857098,32761715,36421,96
TwoCopy,512,8,48345508802,9165530,74310575,50121,39689
TwoCopy,4096,1,8142707562,9221267,23820087,9626,22
TwoCopy,4096,2,15674810527,3574965,47390548,6568,36
TwoCopy,4096,4,30733018803,10830283,78222752,109424,249
TwoCopy,4096,8,49441482667,40253387,168862111,201601,66045
TwoCopy,16384,1,7860543372,40259447,37442659,82344,19
TwoCopy,16384,2,15262255017,2090453,74425453,5746,25
TwoCopy,16384,4,32160717285,1415585,148507334,22663,92
TwoCopy,16384,8,53228004968,17240767,358026314,105262,84306
TwoCopy,65536,1,7995485621,4449256,78062638,26859,20
TwoCopy,65536,2,15871353233,3692537,159021040,23526,40
TwoCopy,65536,4,32045383734,2540680,322089340,69253,160
TwoCopy,65536,8,51247107295,71597860,587071376,512236,79766
OneCopy,512,1,7790324164,6843974,18328515,29021,11
OneCopy,512,2,14308423943,7997319,39417433,23486,175
OneCopy,512,4,30521392090,3233281,69852184,41292,216
OneCopy,512,8,46943297428,33359218,125954505,145101,16612
OneCopy,4096,1,8189281822,3275486,32279682,5546,10
OneCopy,4096,2,15337807184,18011942,64710428,44130,100
OneCopy,4096,4,31745119045,3510737,133261983,35712,255
OneCopy,4096,8,49492267480,86201200,324107373,387932,44651
OneCopy,16384,1,7761253697,7701914,111477173,35082,19
OneCopy,16384,2,15398957264,14943671,223784678,141604,208
OneCopy,16384,4,28033634692,86261876,390861015,794317,1543
OneCopy,16384,8,48249359300,216336310,705927096,1213462,20197
OneCopy,65536,1,7897703116,17828586,188228274,83172,25
OneCopy,65536,2,15799764822,9440559,397767952,102203,74
OneCopy,65536,4,29594810322,44258612,698689953,649589,1117
OneCopy,65536,8,45827175552,223853391,972063914,2610202,57341
ZeroCopy,512,1,5987539373,3705417,31795644,7343,75652
ZeroCopy,512,2,12133751304,2236531,63714254,7872,143434
ZeroCopy,512,4,23054298947,2431485,119880230,20238,210857
ZeroCopy,512,8,34908558063,4262258,176344127,41841,239331
ZeroCopy,4096,1,3900518938,5655424,13762390,76988,21657
ZeroCopy,4096,2,8498164341,4223224,26726517,86857,28016
ZeroCopy,4096,4,21020337091,9212723,78478569,293928,27477
ZeroCopy,4096,8,40573204981,20542656,212093610,166773,20881
ZeroCopy,16384,1,7247593915,41030536,100402607,328013,40
ZeroCopy,16384,2,11133133410,3123017,107679955,59376,14495
ZeroCopy,16384,4,24894860315,17168891,270111653,289798,7450
ZeroCopy,16384,8,35131850068,65122764,312305394,619715,12515
ZeroCopy,65536,1,7877195640,17316284,139328692,81469,283
ZeroCopy,65536,2,15426076835,22972199,274387153,114264,892
ZeroCopy,65536,4,26486000344,48592632,413383080,700644,3533
ZeroCopy,65536,8,33814904718,143623427,450400986,1840807,14324
