Implementation,MessageSize,ThreadCount,Throughput_Gbps,TotalBytes,TotalMessages,Duration_sec
TwoCopy,512,1,0.54,134431744,262562,2.00
TwoCopy,512,2,0.56,140846080,275090,2.00
TwoCopy,512,4,0.41,102897664,200972,2.02
TwoCopy,512,8,0.34,85376000,166750,2.03
TwoCopy,4096,1,1.38,346308608,84548,2.00
TwoCopy,4096,2,1.36,340480000,83125,2.00
TwoCopy,4096,4,2.54,635297792,155102,2.00
TwoCopy,4096,8,1.54,385921024,94219,2.00
TwoCopy,16384,1,2.62,655065088,39982,2.00
TwoCopy,16384,2,2.58,644104192,39313,2.00
TwoCopy,16384,4,1.95,487079936,29729,2.00
TwoCopy,16384,8,2.02,505298944,30841,2.00
TwoCopy,65536,1,8.67,2167341056,33071,2.00
TwoCopy,65536,2,8.75,2188312576,33391,2.00
TwoCopy,65536,4,6.06,1516503040,23140,2.00
TwoCopy,65536,8,6.27,1568538624,23934,2.00
OneCopy,512,1,1.74,434718208,849059,2.00
OneCopy,512,2,1.66,416197120,812885,2.00
OneCopy,512,4,1.09,273404416,533993,2.00
OneCopy,512,8,1.06,268428800,524275,2.02
OneCopy,4096,1,4.43,1107562496,270401,2.00
OneCopy,4096,2,4.75,1189666816,290446,2.00
OneCopy,4096,4,3.33,833224704,203424,2.00
OneCopy,4096,8,4.36,1091284992,266427,2.00
OneCopy,16384,1,15.19,3799973888,231932,2.00
OneCopy,16384,2,15.99,3998580736,244054,2.00
OneCopy,16384,4,14.07,3518824448,214772,2.00
OneCopy,16384,8,10.36,2597257216,158524,2.00
OneCopy,65536,1,32.62,8157790208,124478,2.00
OneCopy,65536,2,32.66,8169717760,124660,2.00
OneCopy,65536,4,26.77,6701318144,102254,2.00
OneCopy,65536,8,19.53,4888068096,74586,2.00
ZeroCopy,512,1,0.57,143318528,279919,2.00
ZeroCopy,512,2,0.59,148464128,289969,2.00
ZeroCopy,512,4,0.39,97221120,189885,2.00
ZeroCopy,512,8,0.27,67546112,131926,2.00
ZeroCopy,4096,1,3.75,938475520,229120,2.00
ZeroCopy,4096,2,3.74,935391232,228367,2.00
ZeroCopy,4096,4,2.59,648474624,158319,2.00
ZeroCopy,4096,8,1.94,485326848,118488,2.00
ZeroCopy,16384,1,12.48,3123003392,190613,2.00
ZeroCopy,16384,2,9.53,2383708160,145490,2.00
ZeroCopy,16384,4,10.57,2644672512,161418,2.00
ZeroCopy,16384,8,5.93,1486471168,90727,2.01
ZeroCopy,65536,1,21.02,5256380416,80206,2.00
ZeroCopy,65536,2,21.56,5391384576,82266,2.00
ZeroCopy,65536,4,18.04,4511694848,68843,2.00
ZeroCopy,65536,8,12.07,3021471744,46104,2.00
